ref_name,building_i,res_sqft,gid,stories,address,gqcap,median_hgt,parcel_id,source,zipcode,nonres_sqf,housing_un,demolished,year_built,SHAPE__Len,build_type,apn,SHAPE__Are,city_id
,2121004,0,7649,1.000000000000000,43442 W OAKS DR,0,18,2091935,SANBORN,48377,4100,0,,1986,257.669291338582696,21,50-22-15-200-059,4125.704145633985718,2170
,2121855,0,7665,1.000000000000000,1717 E 11 MILE RD,0,10,2179054,SANBORN,48067,2875,0,,1968,244.759094734161948,23,72-25-14-353-024,3133.419184829689129,2240
,2128000,0,7789,9.000000000000000,28100 FRANKLIN RD,0,86,2196830,SANBORN,48034,205612,0,,1986,784.389558031336151,63,76-24-17-151-005,37974.846006223262521,2250
,2129193,0,7810,1.000000000000000,2375 COOLIDGE HWY,0,11,2012069,SANBORN,48072,1459,0,,1976,159.851818319662243,65,04-25-18-429-042,1534.115496543493009,2015
,2133635,0,7898,1.000000000000000,28287 BECK RD,0,17,2243825,SANBORN,48393,37500,0,,2000,1290.350116688078288,31,96-22-08-426-037,37510.256591926379770,2295
,2135484,0,7922,1.000000000000000,28501 TELEGRAPH RD,0,14,2196844,SANBORN,48034,9733,0,,1983,641.545661260858992,21,76-24-17-201-038,10810.052717865852173,2250
,2143115,0,8050,1.000000000000000,2972 COOLIDGE HWY,0,13,2452584,SANBORN,48072,3500,0,,1927,255.199703443158285,65,04-25-17-151-032,3727.561382867557313,2015
,2191333,0,8916,1.000000000000000,32001 JOHN R RD,0,20,2077256,SANBORN,48071,115570,0,,1988,1435.718309818069201,21,44-25-02-276-029,115573.138302417224622,2150
,2192619,0,8941,1.000000000000000,4507 FERNLEE AVE,0,15,2169048,SANBORN,48073,600,0,,1960,119.895231353317129,21,72-25-05-129-004,646.722919938895416,2240
,2193193,0,8953,1.000000000000000,4550 DELEMERE BLVD,0,21,2169072,SANBORN,48073,11488,0,,1984,464.627951211180232,31,72-25-05-131-005,11604.489038518007874,2240
,2194346,0,8975,1.000000000000000,32500 JOHN R RD,0,13,2076896,SANBORN,48071,2524,0,,1985,222.875462868301213,65,44-25-01-151-063,2564.085610169484426,2150
,2195468,0,8996,1.000000000000000,2500 W 14 MILE RD,0,14,2166310,SANBORN,48073,3970,0,,1968,275.283882220874489,21,72-20-32-378-039,3843.405449272704118,2240
,2195661,0,8999,1.000000000000000,1120 W 14 MILE RD,0,14,2023688,SANBORN,48017,2739,0,,1982,237.164265706631028,65,16-20-33-354-035,2768.852676564727972,2055
,2195814,0,9003,1.000000000000000,4838 LEAFDALE BLVD,0,14,2166430,SANBORN,48073,10155,0,,1954,438.745450597157799,31,72-20-32-454-020,10166.828355024765187,2240
,2195968,0,9009,1.000000000000000,4906 DELEMERE AVE,0,18,2166293,SANBORN,48073,2060,0,,1964,211.601304445853430,31,72-20-32-378-007,2034.835620664296812,2240
,2290272,0,10803,1.000000000000000,442 W HURON ST,0,20,2131295,SANBORN,48341,3546,0,,2005,345.063244771682264,23,64-14-29-351-016,5530.357353268525912,2215
,2295626,0,10923,1.000000000000000,71-75 N SAGINAW ST,0,33,2131673,SEMCOG,48342,14300,0,,1910,354.382057406965146,21,64-14-29-429-016,7621.295674985447477,2215
,2344264,0,11849,1.000000000000000,232 SOUTH ST,0,15,2143493,SANBORN,48307,23800,0,,1970,680.054774574523435,31,68-15-14-176-005,23829.512112682212319,2230
