ref_name,building_i,res_sqft,gid,stories,address,gqcap,median_hgt,parcel_id,source,zipcode,nonres_sqf,housing_un,demolished,year_built,SHAPE__Len,build_type,apn,SHAPE__Are,city_id,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
,1192115,0,414674,1.000000000000000,"3501 WYOMING ST",0,17.000000000000000,1046704,SANBORN,48120,11250,0,,1949,568.384225363145788,33,"82 10 211 01 003",12976.265015762670373,1025,42.311632,-83.155507,1,rooftop,3501,"Wyoming St",,,Dearborn,MI,"Wayne County",48120,US,Semcog
,1236846,0,415514,1.000000000000000,"18600 HAGGERTY RD",0,14.000000000000000,1159465,SANBORN,48152,39200,0,,0,1294.568234083757716,11,"46 026 99 0002 002",39192.356854630386806,1120,42.41931,-83.430938,1,rooftop,18600,"Haggerty Rd",,,Livonia,MI,"Wayne County",48152,US,Semcog
,1236919,0,415518,1.000000000000000,"37500-37716 6 MILE RD",0,21.000000000000000,1159485,SANBORN,48152,269300,0,,1987,3127.526617057405929,21,"46 028 99 0002 017",269306.063683276646771,1120,42.413721,-83.415992,0.9,nearest_rooftop_match,37500,"6 Mile Rd",,,Livonia,MI,"Wayne County",48152,US,Semcog
,1347618,0,417491,1.000000000000000,"13101 ECKLES RD",0,13.000000000000000,1370837,SANBORN,48170,7000,0,,0,357.507519132477000,31,"78 025 02 0001 000",7027.281564844379318,1145,42.375785,-83.435226,1,rooftop,13101,"Eckles Rd",,,Plymouth,MI,"Wayne County",48170,US,Semcog
,1347731,0,417493,1.000000000000000,"12975 LEVAN RD",0,21.000000000000000,1181541,SANBORN,48150,25704,0,,1979,704.215101384367586,23,"46 114 99 0001 001",25459.628860907028866,1120,42.378189,-83.40261,1,rooftop,12975,"Levan Rd",,,Livonia,MI,"Wayne County",48150,US,Semcog
,1355229,0,417607,1.000000000000000,"6620 LONYO ST",0,18.000000000000000,1041627,SANBORN,48126,48000,0,,1920,1166.474803968626247,33,"82 10 091 04 006",49024.135567522876954,1025,42.340434,-83.151615,1,rooftop,6620,"Lonyo St",,,Dearborn,MI,"Wayne County",48126,US,Semcog
,1363256,0,417727,1.000000000000000,"8740 JOSEPH CAMPAU ST",0,15.000000000000000,1111893,SANBORN,48212,4080,0,,1930,310.884300590518194,23,"41 005 09 0082 000",4105.570556894585934,1090,42.390265,-83.053136,1,rooftop,8740,"Joseph Campau St",,,Hamtramck,MI,"Wayne County",48212,US,Semcog
,1366912,0,417803,2.000000000000000,"12820 HAMILTON AVE",0,24.000000000000000,1125022,SANBORN,48203,14400,0,,1921,339.159248738549422,21,"43 012 02 0237 000",6138.621247862287419,1100,42.396828,-83.102062,1,rooftop,12820,"Hamilton Ave",,,"Highland Park",MI,"Wayne County",48203,US,Semcog
,1373770,0,417925,1.000000000000000,"15210 MACK AVE",0,14.000000000000000,1099453,SANBORN,48230,8480,0,,1936,388.379046966128897,23,"39 007 04 0011 300",8608.809612150475004,1075,42.3878,-82.943232,1,rooftop,15210,"Mack Ave",,,"Grosse Pointe Park",MI,"Wayne County",48230,US,Semcog
,1377448,0,417981,1.000000000000000,"13933 WOODWARD AVE",0,20.000000000000000,1123537,SANBORN,48203,22454,0,,0,567.150392836569608,21,"43 009 02 0001 000",14483.446568971263332,1100,42.405838,-83.09783,1,rooftop,13933,"Woodward Ave",,,"Highland Park",MI,"Wayne County",48203,US,Semcog
